"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-norte","China","28.877"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-norte","Corea del Sur","5.411"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-norte","Filipinas","2.954"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-norte","Brasil","2.807"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-norte","Indonesia","1.428"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-norte","Estados Unidos","1.038"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-norte","Vietnam","758"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-norte","Tailandia","568"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-norte","Perú","527"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-norte","India","366"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-norte","Canadá","334"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-norte","Reino Unido","307"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-norte","Japón","212"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-norte","Australia","204"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-norte","Malasia","197"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-norte","Pakistán","171"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-norte","Hong Kong","165"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-norte","Sri Lanka","154"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-norte","Bangladés","153"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/corea-del-norte","Rusia","146"
