"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-marfil","Burkina Faso","1.307.265"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-marfil","Malí","359.579"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-marfil","Guinea","95.929"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-marfil","Liberia","83.252"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-marfil","Benín","54.608"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-marfil","Togo","50.831"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-marfil","Níger","50.280"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-marfil","Ghana","43.176"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-marfil","Nigeria","39.306"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-marfil","Senegal","19.183"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-marfil","Mauritania","8.076"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-marfil","Libia","3.701"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-marfil","Sierra Leona","665"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-marfil","Guinea-Bisáu","332"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-marfil","Cabo Verde","294"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/costa-marfil","Gambia","44"
