"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/croacia","Bosnia y Herzegovina","394.146"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/croacia","Serbia","49.828"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/croacia","Alemania","32.879"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/croacia","Eslovenia","19.068"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/croacia","República de Macedonia","9.788"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/croacia","Montenegro","6.017"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/croacia","Austria","5.011"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/croacia","Italia","3.056"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/croacia","Suiza","2.929"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/croacia","Francia","1.713"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/croacia","Estados Unidos","1.573"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/croacia","Australia","1.552"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/croacia","Rusia","1.276"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/croacia","Hungría","1.016"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/croacia","Canadá","977"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/croacia","República Checa","923"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/croacia","Holanda","787"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/croacia","Ucrania","737"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/croacia","Polonia","717"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/croacia","Reino Unido","652"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/croacia","Eslovaquia","626"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/croacia","Suecia","611"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/croacia","Rumanía","485"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/croacia","China","434"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/croacia","Bélgica","365"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/croacia","Bulgaria","296"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/croacia","Egipto","240"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/croacia","Sudáfrica","197"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/croacia","Argentina","194"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/croacia","Brasil","187"
