"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cuba","España","4.454"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cuba","Rusia","1.868"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cuba","Haiti","858"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cuba","Ucrania","568"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cuba","Estados Unidos","492"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cuba","México","369"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cuba","Alemania","313"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cuba","China","272"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cuba","Jamaica","271"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cuba","Nicaragua","248"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cuba","Italia","204"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cuba","Venezuela","179"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cuba","República Checa","168"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cuba","Chile","163"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cuba","Argentina","154"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cuba","Colombia","146"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cuba","Francia","136"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cuba","Bulgaria","123"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cuba","República Dominicana","111"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cuba","Albania","101"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cuba","Angola","90"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cuba","Polonia","87"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cuba","Perú","78"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cuba","Panamá","75"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cuba","Granada","74"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cuba","Hungría","64"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cuba","Guatemala","63"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cuba","Rumanía","63"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cuba","Ecuador","56"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/cuba","Canadá","56"
