"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca","Alemania","42.372"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca","Turquía","39.533"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca","Polonia","37.197"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca","Suecia","25.936"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca","Irak","25.918"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca","Noruega","23.315"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca","Bosnia y Herzegovina","21.492"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca","Reino Unido","21.286"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca","Irán","16.190"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca","Rumanía","16.059"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca","Líbano","14.982"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca","Pakistán","14.963"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca","Tailandia","14.206"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca","Estados Unidos","14.186"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca","Afganistán","14.064"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca","China","13.377"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca","Filipinas","12.482"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca","Somalia","12.252"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca","Vietnam","12.052"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca","India","11.020"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca","Corea del Sur","10.526"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca","Lituania","10.222"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca","Islandia","9.668"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca","Sri Lanka","9.472"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca","Holanda","8.197"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca","Francia","8.163"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca","Ucrania","7.880"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca","Italia","7.306"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca","España","6.759"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dinamarca","Rusia","6.612"
