"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dominica","Haiti","1.407"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dominica","Reino Unido","638"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dominica","Estados Unidos","628"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dominica","Antigua y Barbuda","446"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dominica","Trinidad y Tobago","308"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dominica","Santa Lucía","283"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dominica","Guyana","191"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dominica","Canadá","185"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dominica","Barbados","168"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dominica","Jamaica","130"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dominica","San Vicente y las Granadinas","126"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dominica","Francia","80"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dominica","San Cristóbal y Nieves","63"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dominica","Nigeria","50"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dominica","China","38"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dominica","Líbano","34"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dominica","Venezuela","30"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dominica","Alemania","30"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dominica","India","28"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dominica","Surinam","19"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dominica","Siria","16"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dominica","Bahamas","12"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dominica","Cuba","12"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dominica","Holanda","10"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/dominica","Australia","7"
