"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/egipto","Siria","174.813"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/egipto","Estado de Palestina","127.186"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/egipto","Sudán","33.459"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/egipto","Somalia","19.193"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/egipto","Irak","10.038"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/egipto","Arabia Saudita","7.712"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/egipto","Alemania","7.276"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/egipto","Rusia","7.055"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/egipto","Estados Unidos","5.688"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/egipto","Yemen","5.367"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/egipto","Jordania","4.940"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/egipto","Libia","4.725"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/egipto","Italia","3.939"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/egipto","Líbano","2.993"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/egipto","Reino Unido","2.961"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/egipto","Kuwait","2.817"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/egipto","Indonesia","2.713"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/egipto","Francia","2.691"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/egipto","Malasia","2.657"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/egipto","Eritrea","2.001"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/egipto","Suiza","1.285"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/egipto","Etiopía","1.231"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/egipto","Grecia","1.202"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/egipto","India","1.172"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/egipto","Japón","1.086"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/egipto","Filipinas","1.032"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/egipto","Tailandia","1.013"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/egipto","Marruecos","999"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/egipto","Holanda","933"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/egipto","Comoras","856"
