"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/usa","México","12.683.066"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/usa","China","2.422.998"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/usa","India","2.307.909"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/usa","Filipinas","2.076.253"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/usa","Vietnam","1.409.063"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/usa","El Salvador","1.392.663"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/usa","Cuba","1.251.037"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/usa","Corea del Sur","1.177.066"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/usa","República Dominicana","1.069.268"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/usa","Guatemala","975.504"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/usa","Canadá","893.491"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/usa","Jamaica","773.204"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/usa","Colombia","753.847"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/usa","Reino Unido","748.206"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/usa","Haiti","671.499"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/usa","Alemania","645.314"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/usa","Honduras","597.647"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/usa","Perú","478.784"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/usa","Polonia","473.864"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/usa","Ecuador","470.319"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/usa","Rusia","424.350"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/usa","Irán","402.700"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/usa","Italia","389.507"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/usa","Ucrania","377.365"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/usa","Turquía","373.059"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/usa","Pakistán","370.353"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/usa","Japón","368.351"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/usa","Brasil","367.521"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/usa","Guyana","294.318"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/usa","Nigeria","282.153"
