"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/estonia","Rusia","137.011"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/estonia","Ucrania","20.676"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/estonia","Bielorrusia","11.331"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/estonia","Letonia","3.770"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/estonia","Kazajistán","3.626"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/estonia","Finlandia","2.123"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/estonia","Lituania","1.774"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/estonia","Azerbaiyán","1.416"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/estonia","Georgia","1.415"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/estonia","Alemania","1.211"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/estonia","Uzbekistán","1.038"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/estonia","Moldavia","782"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/estonia","Armenia","610"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/estonia","Estados Unidos","552"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/estonia","Polonia","529"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/estonia","Kirguistán","525"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/estonia","Reino Unido","463"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/estonia","Suecia","399"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/estonia","Tayikistán","355"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/estonia","Turkmenistán","316"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/estonia","Italia","260"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/estonia","Francia","187"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/estonia","China","177"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/estonia","España","144"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/estonia","Noruega","131"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/estonia","Irlanda","128"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/estonia","Dinamarca","118"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/estonia","Holanda","113"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/estonia","Bélgica","103"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/estonia","Canadá","100"
