"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/filipinas","China","37.083"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/filipinas","Estados Unidos","36.683"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/filipinas","Japón","14.181"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/filipinas","India","10.973"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/filipinas","Corea del Sur","7.123"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/filipinas","Corea del Norte","5.934"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/filipinas","Canadá","5.740"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/filipinas","Reino Unido","4.416"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/filipinas","Australia","4.118"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/filipinas","Alemania","3.905"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/filipinas","Indonesia","3.407"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/filipinas","Italia","1.785"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/filipinas","España","1.346"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/filipinas","Afganistán","1.258"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/filipinas","Francia","1.241"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/filipinas","Suiza","1.065"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/filipinas","Turquía","906"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/filipinas","Singapur","845"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/filipinas","Sudáfrica","838"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/filipinas","Malasia","817"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/filipinas","Arabia Saudita","756"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/filipinas","Noruega","673"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/filipinas","Israel","633"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/filipinas","Suecia","624"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/filipinas","Irán","604"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/filipinas","Túnez","585"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/filipinas","Bélgica","549"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/filipinas","República del Congo","545"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/filipinas","Austria","518"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/filipinas","Pakistán","514"
