"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia","Argelia","1.452.409"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia","Marruecos","940.552"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia","Portugal","724.000"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia","Túnez","394.506"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia","Italia","373.182"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia","España","309.049"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia","Turquía","301.950"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia","Alemania","237.178"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia","Reino Unido","188.161"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia","Bélgica","155.548"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia","Vietnam","127.857"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia","Madagascar","122.229"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia","Senegal","119.661"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia","Polonia","113.345"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia","China","111.717"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia","Suiza","96.715"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia","Costa de Marfil","91.303"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia","Rumanía","91.158"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia","Serbia","85.988"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia","Camerún","82.513"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia","República Democrática del Congo","77.889"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia","Malí","76.703"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia","Haiti","75.467"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia","República del Congo","70.529"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia","Rusia","64.965"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia","Camboya","64.306"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia","Brasil","58.276"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia","Estados Unidos","54.724"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia","India","48.791"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/francia","Sri Lanka","48.591"
