"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia","Rusia","36.654"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia","Armenia","12.605"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia","Ucrania","12.027"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia","Azerbaiyán","5.937"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia","Kazajistán","1.695"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia","Bielorrusia","1.087"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia","Uzbekistán","754"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia","Alemania","622"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia","Moldavia","477"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia","Turquía","466"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia","Kirguistán","246"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia","Bulgaria","229"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia","Rumanía","218"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia","Lituania","208"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia","Letonia","202"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia","Turkmenistán","200"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia","Polonia","178"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia","Grecia","162"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia","Tayikistán","146"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia","Estonia","121"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia","Irán","121"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia","Estados Unidos","109"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia","Pakistán","86"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia","China","74"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia","Hungría","48"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia","Afganistán","40"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia","Francia","39"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia","República Checa","33"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia","Reino Unido","33"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/georgia","India","31"
