"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/grecia","Albania","429.428"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/grecia","Alemania","112.270"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/grecia","Georgia","81.876"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/grecia","Bulgaria","71.571"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/grecia","Rusia","53.209"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/grecia","Rumanía","45.355"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/grecia","Turquía","32.881"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/grecia","Pakistán","30.727"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/grecia","Egipto","27.754"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/grecia","Kazajistán","26.492"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/grecia","Estados Unidos","22.939"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/grecia","Chipre","21.215"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/grecia","Australia","19.857"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/grecia","Ucrania","19.104"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/grecia","Reino Unido","17.358"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/grecia","Polonia","15.380"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/grecia","Armenia","14.028"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/grecia","Canadá","12.382"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/grecia","India","9.967"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/grecia","Moldavia","9.866"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/grecia","Bangladés","9.634"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/grecia","Filipinas","8.316"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/grecia","Uzbekistán","8.059"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/grecia","Siria","6.916"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/grecia","Sudáfrica","6.784"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/grecia","Francia","6.573"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/grecia","Afganistán","6.216"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/grecia","Italia","6.188"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/grecia","Suecia","5.320"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/grecia","Bélgica","5.031"
