"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/holanda","Turquía","204.356"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/holanda","Surinam","191.986"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/holanda","Marruecos","180.226"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/holanda","Indonesia","132.117"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/holanda","Alemania","131.877"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/holanda","Polonia","126.133"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/holanda","China","67.085"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/holanda","Rusia","60.808"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/holanda","Bélgica","59.147"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/holanda","Reino Unido","53.007"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/holanda","Irak","43.737"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/holanda","Afganistán","35.346"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/holanda","Irán","31.457"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/holanda","Estados Unidos","30.259"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/holanda","Italia","29.552"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/holanda","India","28.912"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/holanda","Somalia","28.681"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/holanda","España","28.082"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/holanda","Francia","27.807"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/holanda","Bulgaria","23.456"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/holanda","Rumanía","19.290"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/holanda","Brasil","18.714"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/holanda","Portugal","18.401"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/holanda","Grecia","15.987"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/holanda","Colombia","15.455"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/holanda","Tailandia","15.182"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/holanda","Hungría","15.002"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/holanda","Ghana","14.966"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/holanda","Sudáfrica","14.889"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/holanda","Vietnam","14.549"
