"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/honduras","El Salvador","8.941"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/honduras","Nicaragua","7.844"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/honduras","Estados Unidos","6.866"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/honduras","Guatemala","4.653"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/honduras","México","1.582"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/honduras","Colombia","876"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/honduras","Costa Rica","869"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/honduras","Cuba","618"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/honduras","China","601"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/honduras","España","530"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/honduras","Ecuador","465"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/honduras","Panamá","401"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/honduras","Perú","387"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/honduras","Belice","368"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/honduras","Canadá","352"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/honduras","Chile","312"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/honduras","Alemania","294"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/honduras","Italia","262"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/honduras","Brasil","239"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/honduras","Argentina","192"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/honduras","Estado de Palestina","155"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/honduras","Bolivia","148"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/honduras","Francia","145"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/honduras","Japón","140"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/honduras","República Dominicana","136"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/honduras","Reino Unido","103"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/honduras","Venezuela","103"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/honduras","Holanda","91"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/honduras","Israel","90"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/honduras","Corea del Sur","68"
