"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hungria","Rumanía","208.490"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hungria","Ucrania","50.253"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hungria","Serbia","41.428"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hungria","Alemania","31.721"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hungria","Eslovaquia","21.158"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hungria","China","18.204"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hungria","Austria","9.917"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hungria","Reino Unido","9.392"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hungria","Estados Unidos","8.216"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hungria","Italia","5.261"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hungria","Francia","4.397"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hungria","Rusia","4.055"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hungria","Holanda","3.539"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hungria","Vietnam","3.488"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hungria","Polonia","3.406"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hungria","Suiza","2.924"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hungria","Canadá","2.544"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hungria","Irán","2.441"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hungria","Turquía","2.331"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hungria","España","2.215"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hungria","Bélgica","2.146"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hungria","Croacia","2.110"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hungria","Siria","1.870"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hungria","Israel","1.734"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hungria","Japón","1.697"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hungria","Nigeria","1.676"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hungria","Suecia","1.670"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hungria","República Checa","1.558"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hungria","Egipto","1.496"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/hungria","India","1.466"
