"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/indonesia","China","73.971"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/indonesia","Corea del Sur","32.677"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/indonesia","Reino Unido","32.026"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/indonesia","Singapur","23.045"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/indonesia","Timor Oriental","23.045"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/indonesia","Tailandia","23.045"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/indonesia","Japón","19.345"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/indonesia","Estados Unidos","12.355"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/indonesia","India","12.252"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/indonesia","Jordania","12.252"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/indonesia","Australia","11.094"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/indonesia","Pakistán","8.412"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/indonesia","Holanda","7.110"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/indonesia","Filipinas","4.117"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/indonesia","Arabia Saudita","2.315"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/indonesia","Siria","2.315"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/indonesia","Libia","2.315"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/indonesia","Malasia","2.315"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/indonesia","Canadá","2.193"
