"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irak","Siria","257.096"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irak","Turquía","17.865"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irak","Irán","14.694"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irak","Egipto","14.651"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irak","Estado de Palestina","12.291"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irak","Jordania","10.542"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irak","Sudán","3.867"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irak","Yemen","2.041"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irak","Líbano","1.552"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irak","Eritrea","822"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irak","Pakistán","695"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irak","Arabia Saudita","687"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irak","Marruecos","597"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irak","Somalia","422"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irak","Kuwait","407"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irak","Afganistán","318"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irak","Túnez","318"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irak","Sudán del Sur","300"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irak","Emiratos Árabes Unidos","293"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irak","Rusia","278"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irak","India","236"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irak","Mauritania","203"
