"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irlanda","Reino Unido","278.040"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irlanda","Polonia","137.131"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irlanda","Lituania","41.483"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irlanda","Estados Unidos","33.006"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irlanda","Letonia","23.796"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irlanda","Nigeria","23.546"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irlanda","Rumanía","21.422"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irlanda","India","21.255"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irlanda","Filipinas","16.467"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irlanda","Alemania","15.452"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irlanda","China","13.640"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irlanda","Eslovaquia","12.731"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irlanda","Francia","11.988"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irlanda","Brasil","11.068"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irlanda","Pakistán","9.914"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irlanda","Sudáfrica","9.661"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irlanda","Hungría","8.825"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irlanda","Italia","8.507"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irlanda","España","8.336"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irlanda","Australia","7.099"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irlanda","Rusia","7.065"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irlanda","República Checa","6.539"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irlanda","Canadá","5.724"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irlanda","Holanda","5.355"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irlanda","Ucrania","4.908"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irlanda","Malasia","4.501"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irlanda","Moldavia","4.072"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irlanda","Bangladés","3.475"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irlanda","Mauricio","3.474"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/irlanda","Zimbabue","3.331"
