"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/israel","Marruecos","159.091"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/israel","Ucrania","131.780"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/israel","Rusia","111.803"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/israel","Rumanía","101.121"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/israel","Etiopía","78.489"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/israel","Estados Unidos","77.132"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/israel","Irak","66.119"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/israel","Polonia","57.824"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/israel","Irán","51.031"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/israel","Argelia","44.553"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/israel","Francia","40.815"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/israel","Argentina","38.372"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/israel","Yemen","30.107"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/israel","Turquía","27.270"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/israel","Alemania","23.072"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/israel","Túnez","22.962"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/israel","Bielorrusia","22.548"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/israel","Uzbekistán","21.765"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/israel","Reino Unido","21.329"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/israel","Egipto","20.579"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/israel","India","18.497"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/israel","Libia","16.847"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/israel","Bulgaria","16.222"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/israel","Kazajistán","13.295"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/israel","Azerbaiyán","13.195"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/israel","Hungría","12.186"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/israel","Sudáfrica","11.431"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/israel","Moldavia","10.641"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/israel","Siria","9.249"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/israel","Georgia","9.087"
