"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jamaica","Estados Unidos","6.237"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jamaica","Reino Unido","4.772"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jamaica","Trinidad y Tobago","2.315"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jamaica","Cuba","1.803"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jamaica","Canadá","1.322"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jamaica","India","1.135"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jamaica","Bahamas","666"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jamaica","Barbados","536"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jamaica","Santa Lucía","330"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jamaica","Guatemala","304"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jamaica","San Vicente y las Granadinas","225"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jamaica","Granada","206"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jamaica","Honduras","161"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jamaica","Antigua y Barbuda","154"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jamaica","Dominica","137"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jamaica","El Salvador","132"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jamaica","Nicaragua","123"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jamaica","Costa Rica","99"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jamaica","San Cristóbal y Nieves","96"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jamaica","Panamá","74"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jamaica","Belice","7"
