"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon","China","741.022"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon","Corea del Sur","593.449"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon","Filipinas","238.797"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon","Brasil","206.976"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon","Vietnam","82.482"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon","Estados Unidos","57.066"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon","Perú","55.469"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon","Tailandia","47.047"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon","Indonesia","31.068"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon","India","25.716"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon","Reino Unido","16.990"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon","Pakistán","12.695"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon","Sri Lanka","10.494"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon","Canadá","10.303"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon","Australia","10.291"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon","Francia","10.135"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon","Bangladés","10.073"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon","Malasia","9.099"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon","Rusia","8.573"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon","Alemania","6.332"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon","Irán","4.533"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon","Nueva Zelanda","3.548"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon","Camboya","3.518"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon","Italia","3.332"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon","Argentina","3.040"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon","Nigeria","2.800"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon","Singapur","2.541"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon","España","2.348"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon","México","2.199"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/japon","Ghana","2.093"
