"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jordania","Estado de Palestina","2.046.650"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jordania","Siria","668.842"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jordania","Irak","227.215"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jordania","Egipto","132.703"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jordania","Yemen","29.763"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jordania","Libia","21.680"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jordania","China","20.936"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jordania","Indonesia","19.060"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jordania","Sri Lanka","12.582"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jordania","Bangladés","11.715"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jordania","India","5.956"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jordania","Arabia Saudita","5.074"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jordania","Filipinas","3.873"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jordania","Pakistán","3.280"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jordania","Estados Unidos","2.638"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jordania","Sudán","2.265"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jordania","Líbano","1.852"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jordania","Israel","1.582"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jordania","Turquía","1.033"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jordania","Reino Unido","814"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jordania","Kuwait","757"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jordania","Alemania","721"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jordania","Omán","641"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jordania","Marruecos","602"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jordania","Rusia","600"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jordania","Hungría","591"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jordania","Baréin","428"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jordania","Ucrania","398"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jordania","Francia","397"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/jordania","Argelia","346"
