"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lesoto","Sudáfrica","2.680"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lesoto","Pakistán","234"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lesoto","India","234"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lesoto","Uganda","140"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lesoto","China","124"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lesoto","Botsuana","110"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lesoto","Estados Unidos","91"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lesoto","Ghana","91"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lesoto","Tanzania","87"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lesoto","Zambia","70"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lesoto","Zimbabue","70"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lesoto","Suazilandia","36"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lesoto","Malaui","36"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lesoto","Mozambique","23"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lesoto","Namibia","4"
