"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libano","Siria","1.209.286"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libano","Estado de Palestina","506.966"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libano","Irak","118.659"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libano","Egipto","81.924"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libano","Sri Lanka","3.215"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libano","Bangladés","2.994"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libano","Indonesia","2.682"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libano","China","2.387"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libano","India","1.521"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libano","Arabia Saudita","1.296"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libano","Filipinas","989"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libano","Pakistán","837"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libano","Estados Unidos","674"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libano","Yemen","613"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libano","Sudán","578"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libano","Jordania","473"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libano","Israel","404"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libano","Turquía","263"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libano","Libia","250"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libano","Reino Unido","208"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libano","Kuwait","193"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libano","Alemania","184"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libano","Omán","164"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libano","Rusia","154"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libano","Marruecos","154"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libano","Hungría","151"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libano","Baréin","109"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libano","Ucrania","102"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libano","Francia","102"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/libano","Sudán del Sur","70"
