"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liechtenstein","Suiza","13.339"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liechtenstein","Austria","4.011"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liechtenstein","Alemania","1.877"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liechtenstein","Italia","912"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liechtenstein","Turquía","646"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liechtenstein","Portugal","440"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liechtenstein","Bosnia y Herzegovina","323"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liechtenstein","España","283"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liechtenstein","Brasil","176"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liechtenstein","Serbia","153"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liechtenstein","Estados Unidos","135"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liechtenstein","Croacia","130"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liechtenstein","Francia","130"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liechtenstein","Eslovenia","118"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liechtenstein","República de Macedonia","90"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liechtenstein","Tailandia","87"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liechtenstein","China","79"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liechtenstein","Holanda","78"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liechtenstein","Reino Unido","72"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liechtenstein","República Dominicana","71"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liechtenstein","Hungría","69"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liechtenstein","Polonia","60"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liechtenstein","República Checa","60"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liechtenstein","Rusia","52"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liechtenstein","Grecia","48"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liechtenstein","Bélgica","42"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liechtenstein","Filipinas","40"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liechtenstein","Ucrania","38"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liechtenstein","Colombia","37"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/liechtenstein","Laos","36"
