"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lituania","Rusia","54.519"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lituania","Bielorrusia","32.093"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lituania","Ucrania","11.215"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lituania","Letonia","5.174"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lituania","Kazajistán","4.163"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lituania","Reino Unido","3.026"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lituania","Polonia","2.042"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lituania","Alemania","1.386"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lituania","Irlanda","1.136"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lituania","Noruega","886"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lituania","Uzbekistán","879"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lituania","Azerbaiyán","800"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lituania","Estonia","743"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lituania","Georgia","561"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lituania","Estados Unidos","558"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lituania","Moldavia","551"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lituania","Armenia","526"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lituania","España","510"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lituania","Kirguistán","352"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lituania","Tayikistán","304"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lituania","Dinamarca","275"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lituania","Italia","262"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lituania","Francia","260"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lituania","Suecia","238"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lituania","Turkmenistán","224"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lituania","Rumanía","165"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lituania","Bélgica","159"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lituania","Holanda","101"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lituania","Hungría","89"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/lituania","Finlandia","78"
