"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo","Portugal","100.460"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo","Francia","38.384"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo","Italia","21.877"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo","Bélgica","21.008"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo","Alemania","15.056"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo","Montenegro","9.065"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo","Reino Unido","6.946"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo","Serbia","6.282"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo","Holanda","4.734"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo","España","4.241"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo","Polonia","3.341"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo","Dinamarca","2.690"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo","Bosnia y Herzegovina","2.569"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo","Suecia","2.185"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo","Grecia","1.934"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo","Rumanía","1.844"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo","Irlanda","1.725"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo","Cabo Verde","1.714"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo","Finlandia","1.382"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo","Estados Unidos","1.162"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo","Hungría","1.152"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo","China","1.117"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo","Austria","1.026"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo","República Checa","962"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo","Bulgaria","931"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo","Eslovaquia","751"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo","Lituania","635"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo","Suiza","564"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo","Estonia","558"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/luxemburgo","Letonia","518"
