"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malasia","Indonesia","1.091.841"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malasia","Bangladés","365.600"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malasia","Birmania - Myanmar","308.337"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malasia","Nepal","209.121"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malasia","India","135.352"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malasia","Filipinas","103.766"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malasia","Vietnam","89.017"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malasia","Singapur","81.109"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malasia","Pakistán","27.395"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malasia","Japón","16.778"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malasia","Camboya","14.409"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malasia","China","10.575"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malasia","Reino Unido","10.049"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malasia","Tailandia","8.448"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malasia","Sri Lanka","6.766"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malasia","Brunéi","6.204"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malasia","Australia","5.416"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malasia","Corea del Sur","3.492"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malasia","Nueva Zelanda","2.183"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malasia","Somalia","986"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malasia","Irak","589"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/malasia","Afganistán","507"
