"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/maldivas","Bangladés","38.620"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/maldivas","India","13.936"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/maldivas","Sri Lanka","7.062"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/maldivas","Filipinas","948"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/maldivas","Pakistán","315"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/maldivas","Tailandia","311"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/maldivas","Alemania","260"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/maldivas","Italia","171"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/maldivas","Suiza","123"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/maldivas","Francia","119"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/maldivas","Japón","113"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/maldivas","Reino Unido","107"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/maldivas","Malasia","105"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/maldivas","Canadá","98"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/maldivas","Australia","81"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/maldivas","Singapur","80"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/maldivas","Estados Unidos","45"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/maldivas","Egipto","38"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/maldivas","Suecia","37"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/maldivas","Austria","23"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/maldivas","Nueva Zelanda","17"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/maldivas","Líbano","10"
