"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/marruecos","Francia","36.129"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/marruecos","Argelia","13.771"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/marruecos","España","4.200"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/marruecos","Túnez","2.643"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/marruecos","Siria","2.098"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/marruecos","Italia","1.943"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/marruecos","República del Congo","1.927"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/marruecos","Egipto","1.904"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/marruecos","Estados Unidos","1.872"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/marruecos","Senegal","1.850"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/marruecos","Irak","1.756"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/marruecos","Mauritania","1.632"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/marruecos","Alemania","1.476"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/marruecos","Bélgica","1.437"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/marruecos","Líbano","1.383"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/marruecos","Reino Unido","1.243"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/marruecos","Libia","1.204"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/marruecos","Guinea","1.008"
