"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauricio","India","8.689"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauricio","Bangladés","8.364"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauricio","China","2.964"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauricio","Madagascar","2.287"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauricio","Francia","1.511"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauricio","Sri Lanka","1.131"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauricio","Sudáfrica","624"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauricio","Reino Unido","456"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauricio","Pakistán","187"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauricio","Italia","146"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauricio","Alemania","136"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauricio","Seychelles","124"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauricio","Bélgica","118"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauricio","Suiza","105"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauricio","Malasia","61"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauricio","Irlanda","50"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauricio","Rusia","49"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauricio","Estados Unidos","49"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauricio","Canadá","36"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauricio","España","27"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauricio","Hong Kong","23"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauricio","Japón","9"
