"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauritania","Malí","105.674"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauritania","Senegal","17.829"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauritania","Guinea","3.140"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauritania","Argelia","1.652"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauritania","Guinea-Bisáu","1.216"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauritania","Benín","557"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauritania","Costa de Marfil","467"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauritania","Camerún","396"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauritania","Marruecos","345"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauritania","Arabia Saudita","308"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauritania","Túnez","250"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauritania","Egipto","227"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauritania","Ghana","208"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauritania","Siria","182"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauritania","Estado de Palestina","162"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauritania","Brasil","160"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauritania","China","159"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauritania","Níger","151"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauritania","Togo","145"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauritania","Libia","139"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauritania","Líbano","119"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauritania","Irak","113"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauritania","Estados Unidos","109"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauritania","República Democrática del Congo","91"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauritania","España","84"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauritania","Gabón","84"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauritania","Corea del Sur","69"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauritania","Emiratos Árabes Unidos","68"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauritania","Argentina","66"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mauritania","Rusia","60"
