"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico","Estados Unidos","899.311"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico","Guatemala","54.508"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico","España","27.608"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico","Colombia","20.658"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico","Argentina","19.214"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico","Cuba","18.111"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico","Venezuela","16.373"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico","Honduras","15.417"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico","Canadá","14.488"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico","Francia","12.212"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico","El Salvador","10.315"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico","China","10.203"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico","Alemania","9.975"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico","Perú","9.083"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico","Corea del Sur","8.593"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico","Chile","7.389"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico","Brasil","6.359"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico","Nicaragua","5.508"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico","Italia","5.064"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico","Reino Unido","3.447"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico","Belice","3.242"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico","Japón","3.065"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico","Uruguay","3.023"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico","Ecuador","2.807"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico","Bolivia","2.785"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico","Costa Rica","2.532"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico","República Dominicana","2.043"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico","Panamá","1.801"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico","Holanda","1.665"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mexico","Rusia","1.603"
