"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/moldavia","Ucrania","62.728"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/moldavia","Rusia","58.073"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/moldavia","Kazajistán","5.079"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/moldavia","Bielorrusia","3.259"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/moldavia","Rumanía","1.322"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/moldavia","Uzbekistán","1.035"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/moldavia","Azerbaiyán","964"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/moldavia","Georgia","913"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/moldavia","Alemania","880"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/moldavia","Italia","239"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/moldavia","Polonia","203"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/moldavia","Turquía","180"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/moldavia","Hungría","178"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/moldavia","República Checa","133"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/moldavia","Bulgaria","118"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/moldavia","Portugal","102"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/moldavia","Mongolia","90"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/moldavia","Israel","79"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/moldavia","Grecia","78"
