"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mongolia","China","9.683"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mongolia","Rusia","2.758"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mongolia","Corea del Sur","1.697"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mongolia","Estados Unidos","732"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mongolia","Corea del Norte","579"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mongolia","Japón","381"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mongolia","Vietnam","254"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mongolia","Australia","214"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mongolia","Turquía","204"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mongolia","Kazajistán","193"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mongolia","Alemania","167"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mongolia","Filipinas","157"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mongolia","Canadá","137"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mongolia","India","101"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mongolia","Reino Unido","89"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mongolia","Francia","75"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mongolia","Pakistán","19"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mongolia","Suiza","19"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mongolia","Italia","19"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mongolia","República Checa","16"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mongolia","Bulgaria","15"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mongolia","Austria","15"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mongolia","Polonia","12"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mongolia","Hungría","10"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mongolia","Irlanda","8"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mongolia","Eslovaquia","4"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mongolia","Finlandia","4"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mongolia","República de Macedonia","4"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mongolia","Laos","1"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/mongolia","Uruguay","1"
