"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/montenegro","Bosnia y Herzegovina","29.462"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/montenegro","Serbia","14.992"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/montenegro","Croacia","14.055"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/montenegro","República de Macedonia","2.852"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/montenegro","Albania","2.368"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/montenegro","Alemania","1.613"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/montenegro","Eslovenia","1.390"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/montenegro","Rusia","795"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/montenegro","Francia","383"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/montenegro","Estados Unidos","272"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/montenegro","Austria","221"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/montenegro","Suiza","182"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/montenegro","Italia","179"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/montenegro","Holanda","133"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/montenegro","Suecia","129"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/montenegro","Ucrania","121"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/montenegro","Australia","117"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/montenegro","República Checa","103"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/montenegro","Rumanía","91"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/montenegro","Reino Unido","88"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/montenegro","Luxemburgo","85"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/montenegro","Polonia","84"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/montenegro","Dinamarca","83"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/montenegro","Turquía","75"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/montenegro","Bulgaria","67"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/montenegro","Canadá","59"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/montenegro","Eslovaquia","48"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/montenegro","Grecia","48"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/montenegro","Hungría","40"
