"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega","Polonia","98.236"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega","Suecia","53.005"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega","Lituania","38.708"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega","Alemania","30.384"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega","Somalia","29.124"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega","Dinamarca","27.205"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega","Irak","23.866"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega","Filipinas","22.178"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega","Pakistán","20.886"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega","Reino Unido","20.827"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega","Tailandia","19.437"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega","Estados Unidos","18.805"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega","Rusia","18.523"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega","Irán","17.430"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega","Eritrea","15.962"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega","Vietnam","14.859"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega","Bosnia y Herzegovina","14.370"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega","Afganistán","14.257"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega","Rumanía","13.017"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega","India","12.891"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega","China","12.064"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega","Turquía","12.053"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega","Letonia","10.389"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega","Sri Lanka","9.989"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega","Holanda","9.320"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega","Islandia","8.910"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega","Etiopía","8.337"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega","Corea del Sur","8.059"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega","Finlandia","7.349"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/noruega","Chile","7.140"
