"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/paraguay","Brasil","75.626"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/paraguay","Argentina","58.535"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/paraguay","Uruguay","3.000"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/paraguay","Corea del Sur","2.613"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/paraguay","Canadá","2.340"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/paraguay","Chile","2.163"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/paraguay","Japón","2.034"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/paraguay","Alemania","1.702"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/paraguay","México","1.646"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/paraguay","Estados Unidos","1.616"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/paraguay","Bolivia","1.035"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/paraguay","España","905"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/paraguay","Italia","898"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/paraguay","Polonia","894"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/paraguay","China","800"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/paraguay","Francia","629"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/paraguay","Reino Unido","178"
