"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal","Angola","159.028"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal","Brasil","136.631"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal","Francia","92.406"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal","Mozambique","71.476"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal","Cabo Verde","60.590"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal","Ucrania","47.360"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal","Guinea-Bisáu","28.927"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal","Alemania","27.383"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal","Venezuela","24.603"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal","Rumanía","23.167"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal","Moldavia","20.076"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal","Reino Unido","18.709"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal","Santo Tomé y Príncipe","18.233"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal","Suiza","16.470"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal","España","16.124"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal","Sudáfrica","11.224"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal","China","10.646"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal","India","7.947"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal","Canadá","7.404"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal","Estados Unidos","7.080"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal","Rusia","5.774"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal","Bulgaria","5.271"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal","Guinea","4.579"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal","Holanda","4.030"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal","Luxemburgo","3.995"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal","Bélgica","3.481"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal","Italia","2.774"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal","Senegal","2.114"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal","Marruecos","2.002"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/portugal","Pakistán","1.969"
