"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uk","Polonia","874.291"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uk","India","836.524"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uk","Pakistán","529.324"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uk","Irlanda","402.089"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uk","Alemania","300.983"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uk","Rumanía","231.358"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uk","Bangladés","228.353"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uk","Sudáfrica","210.470"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uk","Nigeria","209.417"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uk","China","207.278"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uk","Estados Unidos","190.491"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uk","Italia","170.454"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uk","Francia","160.991"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uk","Lituania","158.854"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uk","Portugal","147.271"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uk","Jamaica","144.196"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uk","Kenia","141.020"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uk","Filipinas","138.905"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uk","Sri Lanka","138.904"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uk","Australia","131.542"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uk","España","131.496"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uk","Somalia","119.953"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uk","Zimbabue","117.873"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uk","Ghana","113.637"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uk","Letonia","98.882"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uk","Hong Kong","98.384"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uk","Canadá","91.545"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uk","Irán","90.499"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uk","Eslovaquia","89.422"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uk","Hungría","84.155"
