"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/macedonia","Albania","67.924"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/macedonia","Turquía","19.958"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/macedonia","Serbia","17.963"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/macedonia","Montenegro","9.246"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/macedonia","Bosnia y Herzegovina","8.729"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/macedonia","Egipto","1.967"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/macedonia","Croacia","1.435"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/macedonia","Bulgaria","1.073"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/macedonia","Eslovenia","256"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/macedonia","Grecia","233"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/macedonia","Rusia","215"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/macedonia","Polonia","100"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/macedonia","Hungría","81"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/macedonia","Ucrania","64"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/macedonia","República Checa","53"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/macedonia","Alemania","42"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/macedonia","Italia","37"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/macedonia","Eslovaquia","36"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/macedonia","Rumanía","23"
