"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rusia","Ucrania","3.272.304"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rusia","Kazajistán","2.562.079"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rusia","Uzbekistán","1.147.613"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rusia","Azerbaiyán","767.881"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rusia","Bielorrusia","764.819"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rusia","Kirguistán","591.767"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rusia","Armenia","527.659"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rusia","Tayikistán","466.837"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rusia","Georgia","450.539"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rusia","Moldavia","294.522"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rusia","Turkmenistán","185.795"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rusia","Alemania","142.126"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rusia","Letonia","89.452"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rusia","Lituania","71.128"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rusia","Estonia","58.792"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rusia","China","56.210"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rusia","Polonia","29.227"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rusia","Mongolia","21.158"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rusia","Hungría","16.852"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rusia","Vietnam","13.680"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rusia","República Checa","11.264"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rusia","Corea del Norte","10.631"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rusia","Turquía","10.244"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rusia","Bulgaria","5.845"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rusia","India","5.705"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rusia","Afganistán","5.098"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rusia","Estados Unidos","4.591"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rusia","Rumanía","3.913"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rusia","Corea del Sur","3.723"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/rusia","Israel","3.651"
