"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/san-cristobal-nieves","Guyana","792"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/san-cristobal-nieves","Antigua y Barbuda","411"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/san-cristobal-nieves","Trinidad y Tobago","271"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/san-cristobal-nieves","Dominica","203"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/san-cristobal-nieves","San Vicente y las Granadinas","171"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/san-cristobal-nieves","Jamaica","143"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/san-cristobal-nieves","Santa Lucía","103"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/san-cristobal-nieves","Barbados","97"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/san-cristobal-nieves","Granada","58"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/san-cristobal-nieves","Bahamas","24"
