"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/santa-lucia","Guyana","1.992"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/santa-lucia","Reino Unido","980"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/santa-lucia","Trinidad y Tobago","787"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/santa-lucia","Barbados","785"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/santa-lucia","Estados Unidos","669"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/santa-lucia","San Vicente y las Granadinas","439"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/santa-lucia","Canadá","258"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/santa-lucia","Dominica","231"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/santa-lucia","Jamaica","188"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/santa-lucia","Granada","160"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/santa-lucia","Antigua y Barbuda","119"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/santa-lucia","India","119"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/santa-lucia","Alemania","74"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/santa-lucia","Francia","74"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/santa-lucia","Venezuela","63"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/santa-lucia","China","49"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/santa-lucia","República Dominicana","48"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/santa-lucia","San Cristóbal y Nieves","44"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/santa-lucia","Surinam","42"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/santa-lucia","Panamá","28"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/santa-lucia","Siria","28"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/santa-lucia","Japón","26"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/santa-lucia","Cuba","24"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/santa-lucia","Ghana","24"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/santa-lucia","Holanda","20"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/santa-lucia","Pakistán","17"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/santa-lucia","Italia","16"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/santa-lucia","Australia","16"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/santa-lucia","Nigeria","13"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/santa-lucia","Bahamas","13"
