"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/senegal","Mauritania","51.951"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/senegal","Guinea","50.226"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/senegal","Malí","33.225"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/senegal","Guinea-Bisáu","28.756"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/senegal","Sierra Leona","14.527"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/senegal","Francia","13.511"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/senegal","Gambia","5.028"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/senegal","Argelia","4.086"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/senegal","Marruecos","4.016"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/senegal","Benín","3.518"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/senegal","Costa de Marfil","2.739"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/senegal","Ghana","1.739"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/senegal","Níger","1.647"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/senegal","Togo","1.627"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/senegal","Arabia Saudita","1.389"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/senegal","Líbano","1.075"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/senegal","Camerún","987"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/senegal","Alemania","850"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/senegal","Nigeria","826"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/senegal","Estados Unidos","779"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/senegal","Brasil","631"
