"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/singapur","Malasia","1.158.890"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/singapur","China","462.632"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/singapur","Indonesia","168.355"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/singapur","India","154.788"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/singapur","Pakistán","133.306"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/singapur","Bangladés","83.279"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/singapur","Hong Kong","63.912"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/singapur","Tailandia","19.873"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/singapur","Estados Unidos","17.699"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/singapur","Filipinas","15.874"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/singapur","Sri Lanka","11.066"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/singapur","Australia","10.446"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/singapur","Canadá","4.847"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/singapur","Nueva Zelanda","4.061"
