"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suazilandia","Sudáfrica","13.007"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suazilandia","Mozambique","10.805"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suazilandia","Estados Unidos","266"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suazilandia","Lesoto","229"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suazilandia","Burundi","227"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suazilandia","República Democrática del Congo","168"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suazilandia","Ruanda","144"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suazilandia","Angola","126"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suazilandia","Somalia","92"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suazilandia","República del Congo","74"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suazilandia","Uganda","57"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suazilandia","Australia","57"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suazilandia","Liberia","47"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suazilandia","Botsuana","42"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suazilandia","Etiopía","31"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suazilandia","Nueva Zelanda","25"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suazilandia","Canadá","19"
