"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica","Zimbabue","649.385"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica","Mozambique","381.386"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica","Lesoto","312.537"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica","Namibia","174.043"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica","Reino Unido","123.764"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica","Malaui","102.327"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica","Alemania","93.660"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica","Zambia","92.075"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica","Suazilandia","87.362"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica","Botsuana","69.160"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica","Angola","65.716"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica","República Democrática del Congo","50.340"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica","Portugal","44.925"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica","India","39.907"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica","China","38.684"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica","Italia","38.515"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica","Holanda","33.217"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica","República del Congo","32.497"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica","Somalia","30.847"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica","Nigeria","27.326"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica","Kenia","27.143"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica","Irlanda","19.989"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica","Estados Unidos","16.713"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica","Pakistán","16.517"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica","Polonia","16.276"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica","Tanzania","15.823"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica","Grecia","14.912"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica","Mauricio","14.043"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica","Bélgica","13.128"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudafrica","Francia","12.506"
