"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudan","Sudán del Sur","301.885"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudan","Eritrea","188.411"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudan","Chad","87.884"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudan","Etiopía","71.631"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudan","Nigeria","17.488"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudan","República Centroafricana","15.909"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudan","Egipto","15.831"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudan","Kenia","3.037"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudan","Libia","1.836"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudan","India","1.506"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudan","Uganda","1.481"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudan","China","1.310"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudan","República Democrática del Congo","943"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudan","Malí","799"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudan","Somalia","153"
