"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudan-del-sur","Sudán","563.135"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudan-del-sur","Uganda","145.799"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudan-del-sur","República Democrática del Congo","87.871"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudan-del-sur","Etiopía","12.802"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudan-del-sur","Kenia","9.570"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudan-del-sur","Chad","5.190"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudan-del-sur","Egipto","5.151"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudan-del-sur","República Centroafricana","4.580"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudan-del-sur","Nigeria","3.541"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudan-del-sur","Eritrea","3.322"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudan-del-sur","India","1.415"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudan-del-sur","Malí","203"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/sudan-del-sur","Libia","153"
