"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza","Alemania","376.007"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza","Italia","274.648"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza","Portugal","213.555"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza","Serbia","174.909"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza","Francia","157.721"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza","Turquía","87.634"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza","Austria","67.514"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza","España","65.211"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza","República de Macedonia","60.994"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza","Bosnia y Herzegovina","59.685"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza","Reino Unido","49.847"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza","Brasil","49.250"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza","Sri Lanka","43.708"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza","Estados Unidos","39.775"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza","Holanda","32.535"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza","Polonia","27.384"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza","Croacia","22.576"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza","Tailandia","20.734"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza","Rusia","19.950"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza","India","19.791"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza","China","19.090"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza","Hungría","18.173"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza","Marruecos","18.145"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza","Bélgica","16.847"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza","Rumanía","15.402"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza","República Checa","14.763"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza","Filipinas","13.915"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza","Eslovaquia","12.934"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza","Canadá","12.829"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/suiza","Vietnam","12.499"
