"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tailandia","Birmania - Myanmar","1.835.106"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tailandia","Laos","923.050"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tailandia","Camboya","680.686"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tailandia","China","76.595"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tailandia","Nepal","11.514"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tailandia","India","9.162"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tailandia","Japón","8.406"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tailandia","Sri Lanka","7.931"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tailandia","Vietnam","7.255"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tailandia","Estados Unidos","4.174"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tailandia","Pakistán","2.415"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tailandia","Alemania","2.366"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tailandia","Reino Unido","2.128"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tailandia","Nueva Zelanda","1.852"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tailandia","Australia","1.457"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tailandia","Bangladés","1.445"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tailandia","Francia","1.357"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tailandia","Malasia","1.352"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tailandia","Filipinas","1.349"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tailandia","Suiza","967"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tailandia","Corea del Sur","935"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tailandia","Canadá","773"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tailandia","Singapur","750"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tailandia","Noruega","739"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tailandia","Suecia","717"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tailandia","Holanda","700"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tailandia","Indonesia","690"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tailandia","Dinamarca","659"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tailandia","Italia","630"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tailandia","Portugal","545"
