"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tunez","Argelia","10.620"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tunez","Libia","9.302"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tunez","Francia","8.784"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tunez","Marruecos","5.901"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tunez","Italia","2.246"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tunez","Alemania","1.477"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tunez","Siria","1.252"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tunez","Egipto","1.159"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tunez","Malí","1.015"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tunez","Camerún","730"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tunez","Costa de Marfil","658"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tunez","Irak","648"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tunez","Estados Unidos","619"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tunez","Estado de Palestina","562"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tunez","Nigeria","553"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tunez","Mauritania","538"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/tunez","Senegal","417"
