"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uruguay","Argentina","27.933"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uruguay","España","16.393"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uruguay","Brasil","12.493"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uruguay","Italia","7.399"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uruguay","Alemania","1.397"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uruguay","Chile","1.300"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uruguay","Polonia","1.178"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uruguay","Paraguay","1.038"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uruguay","Estados Unidos","630"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uruguay","Rumanía","616"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uruguay","Venezuela","588"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uruguay","Portugal","565"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uruguay","México","538"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uruguay","Francia","475"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uruguay","Reino Unido","458"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uruguay","Canadá","316"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/uruguay","Perú","90"
