"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/venezuela","Colombia","988.483"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/venezuela","España","75.744"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/venezuela","Portugal","55.441"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/venezuela","Italia","51.863"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/venezuela","Perú","47.739"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/venezuela","Ecuador","37.549"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/venezuela","Siria","15.875"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/venezuela","Chile","15.500"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/venezuela","República Dominicana","14.972"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/venezuela","China","14.081"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/venezuela","Cuba","11.601"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/venezuela","Estados Unidos","11.417"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/venezuela","Argentina","10.098"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/venezuela","Guyana","9.291"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/venezuela","Líbano","7.602"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/venezuela","Brasil","6.119"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/venezuela","Uruguay","4.869"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/venezuela","Alemania","4.276"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/venezuela","México","3.890"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/venezuela","Francia","3.835"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/venezuela","Trinidad y Tobago","2.851"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/venezuela","Nicaragua","2.076"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/venezuela","Bolivia","1.997"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/venezuela","Haiti","1.929"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/venezuela","Reino Unido","1.831"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/venezuela","Arabia Saudita","1.643"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/venezuela","Canadá","1.153"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/venezuela","Costa Rica","1.144"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/venezuela","Hungría","1.043"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/venezuela","El Salvador","1.030"
