"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/vietnam","Tailandia","12.077"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/vietnam","Birmania - Myanmar","11.695"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/vietnam","Bangladés","8.254"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/vietnam","Indonesia","8.217"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/vietnam","Laos","7.272"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/vietnam","Estados Unidos","3.307"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/vietnam","China","3.141"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/vietnam","Nepal","2.420"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/vietnam","India","2.026"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/vietnam","Japón","1.926"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/vietnam","Corea del Sur","1.887"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/vietnam","Singapur","1.830"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/vietnam","Corea del Norte","1.571"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/vietnam","Canadá","1.520"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/vietnam","Reino Unido","1.169"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/vietnam","Camboya","1.035"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/vietnam","Pakistán","617"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/vietnam","Francia","214"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/vietnam","Malasia","133"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/vietnam","Filipinas","118"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/vietnam","Sri Lanka","82"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/vietnam","Australia","38"
