"url","Pases","In Migrant Es"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/yemen","Somalia","278.891"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/yemen","Sudán","27.397"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/yemen","Egipto","11.225"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/yemen","Irak","9.915"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/yemen","Etiopía","5.806"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/yemen","Estado de Palestina","3.800"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/yemen","Siria","2.977"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/yemen","Eritrea","1.020"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/yemen","Vietnam","15"
"https://datosmacro.expansion.com/demografia/migracion/inmigracion/yemen","Irán","7"
