url;Pases;Pases_link;Idh;Rankin Gi Dh;Var
https://datosmacro.expansion.com/idh;Afganistán [+];https://datosmacro.expansion.com/idh/afganistan;0,498;168º;0
https://datosmacro.expansion.com/idh;Albania [+];https://datosmacro.expansion.com/idh/albania;0,785;68º;-1
https://datosmacro.expansion.com/idh;Alemania [+];https://datosmacro.expansion.com/idh/alemania;0,936;5º;1
https://datosmacro.expansion.com/idh;Andorra [+];https://datosmacro.expansion.com/idh/andorra;0,858;35º;0
https://datosmacro.expansion.com/idh;Angola [+];https://datosmacro.expansion.com/idh/angola;0,581;147º;2
https://datosmacro.expansion.com/idh;Antigua y Barbuda [+];https://datosmacro.expansion.com/idh/antigua-barbuda;0,78;70º;0
https://datosmacro.expansion.com/idh;Arabia Saudita [+];https://datosmacro.expansion.com/idh/arabia-saudita;0,853;39º;1
https://datosmacro.expansion.com/idh;Argelia [+];https://datosmacro.expansion.com/idh/argelia;0,754;85º;3
https://datosmacro.expansion.com/idh;Argentina [+];https://datosmacro.expansion.com/idh/argentina;0,825;47º;0
https://datosmacro.expansion.com/idh;Armenia [+];https://datosmacro.expansion.com/idh/armenia;0,755;83º;-1
https://datosmacro.expansion.com/idh;Australia [+];https://datosmacro.expansion.com/idh/australia;0,939;3º;0
https://datosmacro.expansion.com/idh;Austria [+];https://datosmacro.expansion.com/idh/austria;0,908;20º;0
https://datosmacro.expansion.com/idh;Azerbaiyán [+];https://datosmacro.expansion.com/idh/azerbaiyan;0,757;80º;0
https://datosmacro.expansion.com/idh;Bahamas [+];https://datosmacro.expansion.com/idh/bahamas;0,807;54º;1
https://datosmacro.expansion.com/idh;Bangladés [+];https://datosmacro.expansion.com/idh/banglades;0,608;136º;-2
https://datosmacro.expansion.com/idh;Barbados [+];https://datosmacro.expansion.com/idh/barbados;0,8;58º;1
https://datosmacro.expansion.com/idh;Baréin [+];https://datosmacro.expansion.com/idh/barein;0,846;43º;2
https://datosmacro.expansion.com/idh;Bélgica [+];https://datosmacro.expansion.com/idh/belgica;0,916;17º;1
https://datosmacro.expansion.com/idh;Belice [+];https://datosmacro.expansion.com/idh/belice;0,708;106º;1
https://datosmacro.expansion.com/idh;Benín [+];https://datosmacro.expansion.com/idh/benin;0,515;163º;2
https://datosmacro.expansion.com/idh;Bielorrusia [+];https://datosmacro.expansion.com/idh/bielorrusia;0,808;53º;-1
https://datosmacro.expansion.com/idh;Birmania - Myanmar [+];https://datosmacro.expansion.com/idh/birmania;0,578;148º;1
https://datosmacro.expansion.com/idh;Bolivia [+];https://datosmacro.expansion.com/idh/bolivia;0,693;118º;2
https://datosmacro.expansion.com/idh;Bosnia y Herzegovina [+];https://datosmacro.expansion.com/idh/bosnia-herzegovina;0,768;77º;0
https://datosmacro.expansion.com/idh;Botsuana [+];https://datosmacro.expansion.com/idh/botsuana;0,717;101º;-1
https://datosmacro.expansion.com/idh;Brasil [+];https://datosmacro.expansion.com/idh/brasil;0,759;79º;0
https://datosmacro.expansion.com/idh;Brunéi [+];https://datosmacro.expansion.com/idh/brunei;0,853;39º;-1
https://datosmacro.expansion.com/idh;Bulgaria [+];https://datosmacro.expansion.com/idh/bulgaria;0,813;51º;1
https://datosmacro.expansion.com/idh;Burkina Faso [+];https://datosmacro.expansion.com/idh/burkina-faso;0,423;183º;1
https://datosmacro.expansion.com/idh;Burundi [+];https://datosmacro.expansion.com/idh/burundi;0,417;185º;2
https://datosmacro.expansion.com/idh;Bután [+];https://datosmacro.expansion.com/idh/butan;0,612;134º;-1
https://datosmacro.expansion.com/idh;Cabo Verde [+];https://datosmacro.expansion.com/idh/cabo-verde;0,654;125º;1
https://datosmacro.expansion.com/idh;Camboya [+];https://datosmacro.expansion.com/idh/camboya;0,582;146º;0
https://datosmacro.expansion.com/idh;Camerún [+];https://datosmacro.expansion.com/idh/camerun;0,556;151º;1
https://datosmacro.expansion.com/idh;Canadá [+];https://datosmacro.expansion.com/idh/canada;0,926;12º;0
https://datosmacro.expansion.com/idh;Catar [+];https://datosmacro.expansion.com/idh/catar;0,856;37º;1
https://datosmacro.expansion.com/idh;Chad [+];https://datosmacro.expansion.com/idh/chad;0,404;186º;1
https://datosmacro.expansion.com/idh;Chile [+];https://datosmacro.expansion.com/idh/chile;0,843;44º;0
https://datosmacro.expansion.com/idh;China [+];https://datosmacro.expansion.com/idh/china;0,752;86º;0
https://datosmacro.expansion.com/idh;Chipre [+];https://datosmacro.expansion.com/idh/chipre;0,869;32º;0
https://datosmacro.expansion.com/idh;Colombia [+];https://datosmacro.expansion.com/idh/colombia;0,747;90º;1
https://datosmacro.expansion.com/idh;Comoras [+];https://datosmacro.expansion.com/idh/comoras;0,503;165º;2
https://datosmacro.expansion.com/idh;Corea del Sur [+];https://datosmacro.expansion.com/idh/corea-del-sur;0,903;22º;-1
https://datosmacro.expansion.com/idh;Costa de Marfil [+];https://datosmacro.expansion.com/idh/costa-marfil;0,492;170º;1
https://datosmacro.expansion.com/idh;Costa Rica [+];https://datosmacro.expansion.com/idh/costa-rica;0,794;63º;0
https://datosmacro.expansion.com/idh;Croacia [+];https://datosmacro.expansion.com/idh/croacia;0,831;46º;0
https://datosmacro.expansion.com/idh;Cuba [+];https://datosmacro.expansion.com/idh/cuba;0,777;73º;1
https://datosmacro.expansion.com/idh;Dinamarca [+];https://datosmacro.expansion.com/idh/dinamarca;0,929;11º;1
https://datosmacro.expansion.com/idh;Dominica [+];https://datosmacro.expansion.com/idh/dominica;0,715;103º;2
https://datosmacro.expansion.com/idh;Ecuador [+];https://datosmacro.expansion.com/idh/ecuador;0,752;86º;2
https://datosmacro.expansion.com/idh;Egipto [+];https://datosmacro.expansion.com/idh/egipto;0,696;115º;2
https://datosmacro.expansion.com/idh;El Salvador [+];https://datosmacro.expansion.com/idh/el-salvador;0,674;121º;2
https://datosmacro.expansion.com/idh;Emiratos Árabes Unidos [+];https://datosmacro.expansion.com/idh/emiratos-arabes-unidos;0,863;34º;1
https://datosmacro.expansion.com/idh;Eritrea [+];https://datosmacro.expansion.com/idh/eritrea;0,44;179º;1
https://datosmacro.expansion.com/idh;Eslovaquia [+];https://datosmacro.expansion.com/idh/eslovaquia;0,855;38º;-1
https://datosmacro.expansion.com/idh;Eslovenia [+];https://datosmacro.expansion.com/idh/eslovenia;0,896;25º;0
https://datosmacro.expansion.com/idh;España [+];https://datosmacro.expansion.com/idh/espana;0,891;26º;0
https://datosmacro.expansion.com/idh;Estado de Palestina [+];https://datosmacro.expansion.com/idh/palestina;0,686;119º;3
https://datosmacro.expansion.com/idh;Estados Federados de Micronesia [+];https://datosmacro.expansion.com/idh/micronesia;0,627;131º;0
https://datosmacro.expansion.com/idh;Estados Unidos [+];https://datosmacro.expansion.com/idh/usa;0,924;13º;1
https://datosmacro.expansion.com/idh;Estonia [+];https://datosmacro.expansion.com/idh/estonia;0,871;30º;0
https://datosmacro.expansion.com/idh;Etiopía [+];https://datosmacro.expansion.com/idh/etiopia;0,463;173º;0
https://datosmacro.expansion.com/idh;Filipinas [+];https://datosmacro.expansion.com/idh/filipinas;0,699;113º;2
https://datosmacro.expansion.com/idh;Finlandia [+];https://datosmacro.expansion.com/idh/finlandia;0,92;15º;0
https://datosmacro.expansion.com/idh;Fiyi [+];https://datosmacro.expansion.com/idh/fiyi;0,741;92º;-1
https://datosmacro.expansion.com/idh;Francia [+];https://datosmacro.expansion.com/idh/francia;0,901;24º;0
https://datosmacro.expansion.com/idh;Gabón [+];https://datosmacro.expansion.com/idh/gabon;0,702;110º;1
https://datosmacro.expansion.com/idh;Gambia [+];https://datosmacro.expansion.com/idh/gambia;0,46;174º;1
https://datosmacro.expansion.com/idh;Georgia [+];https://datosmacro.expansion.com/idh/georgia;0,78;70º;-1
https://datosmacro.expansion.com/idh;Ghana [+];https://datosmacro.expansion.com/idh/ghana;0,592;140º;0
