id;label;numInmigrantes;tasaNatalidad;tasaMortalidad;esperanzaDeVida;indicePaz;capitalHumano;indiceDesarrolloHumano
0;Afganistan;133612;32,51;6,59;64,05;162;0;168
1;Albania;52484;10,70;7,70;78,5;57;85;68
2;Alemania;12165083;9,50;11,30;81,1;16;6;5
3;Andorra;41039;8,80;4,30;90;0;0;35
4;Angola;638499;41,35;8,37;61,81;100;0;147
5;Antigua y Barbuda;28646;16,09;5,79;76,52;0;0;70
6;Arabia Saudita;12185284;19,19;3,58;74,72;133;82;39
7;Argelia;248624;22,29;4,76;76,29;109;112;85
8;Argentina;2164524;16,98;7,56;76,74;55;52;47
9;Armenia;190719;12,70;9,10;75,8;112;49;83
10;Australia;7035560;12,40;6,50;82,5;12;20;3
11;Austria;1660283;10,00;9,50;81,7;4;10;20
12;Azerbaiyan;259241;14,60;5,80;75,6;132;0;80
13;Bahamas;61806;14,13;6,45;75,82;0;0;54
14;Banglades;1500921;18,61;5,27;72,81;84;111;136
15;Barbados;34660;11,82;10,83;76,06;0;79;58
16;Barein;722649;14,40;2,37;77,04;131;47;43
17;Belgica;1268411;10,50;9,60;81,6;19;15;17
18;Belice;59998;22,31;5,43;70,59;0;0;106
19;Benin;253284;36,62;9,03;61,17;79;105;163
20;Bielorrusia;1078652;10,80;12,60;74,5;103;0;53
21;Birmania   Myanmar;74660;17,62;8,19;66,74;104;89;148
22;Bolivia;148837;22,97;7,25;69,47;86;54;118
23;Bosnia y Herzegovina;37100;8,30;10,40;77,09;84;0;77
24;Botsuana;166430;23,16;6,41;67,62;27;91;101
25;Brasil;735557;13,92;6,24;75,72;108;77;79
26;Brunei;108612;15,58;3,64;77,37;0;58;39
27;Bulgaria;153803;9,00;15,50;74,8;28;32;51
28;Burkina Faso;708921;38,42;8,34;60,77;91;0;183
29;Burundi;299569;41,76;10,55;57,86;141;102;185
30;Butan;52296;17,88;6,01;70,57;13;0;134
31;Cabo Verde;15295;20,66;5,45;73;0;0;125
32;Camboya;76329;22,89;6,01;69,33;89;92;146
33;Camerun;540266;35,77;9,81;58,58;130;73;151
34;Canada;7861226;10,30;7,50;82,47;8;14;12
35;Catar;1721392;9,99;1,56;78,33;30;55;37
36;Chad;489690;42,80;12,71;53,21;135;122;186
37;Chile;488571;13,14;6,16;79,73;24;53;44
38;China;999527;12,43;7,11;76,41;116;34;86
39;Chipre;188973;10,70;7,00;82,2;64;38;32
40;Colombia;142319;14,93;6,08;74,56;146;68;90
41;Comoras;12555;32,37;7,30;63,91;0;0;165
42;Corea del Norte;48939;13,80;8,95;71,89;150;0;0
43;Corea del Sur;1151865;7,00;5,60;82,63;47;27;22
44;Costa de Marfil;2197152;36,55;11,93;54,1;121;113;170
45;Costa Rica;414214;14,06;5,00;80,03;34;61;63
46;Croacia;560483;8,90;12,90;78;31;37;46
47;Cuba;13136;10,75;8,11;79,92;88;0;73
48;Dinamarca;656789;10,60;9,20;81,1;5;5;11
49;Dominica;6782;12,00;8,20;76,6;0;0;103
50;Ecuador;399068;19,87;5,12;76,55;66;76;86
51;Egipto;478310;25,69;5,86;71,66;139;97;115
52;El Salvador;42323;18,37;6,76;73,75;115;95;121
53;Emiratos Arabes Unidos;8312524;9,33;1,64;77,41;65;45;34
54;Eritrea;16041;31,59;6,65;65,54;136;0;179
55;Eslovaquia;184642;10,70;9,90;77,3;26;36;38
56;Eslovenia;244790;9,80;9,90;81,2;7;9;25
57;Espana;5947106;8,41;9,07;83,4;23;44;26
58;Estado de Palestina;253735;31,41;3,48;73,65;145;0;119
59;Estados Federados de Micronesia;2785;23,77;6,23;69,32;0;0;131
60;Estados Unidos;49776970;11,80;8,50;78,54;114;4;13
61;Estonia;192962;10,50;11,80;78,4;36;12;30
62;Etiopia;1227143;31,26;6,67;65,87;134;127;173
63;Filipinas;218530;22,98;6,55;69,24;138;50;113
64;Finlandia;343582;9,10;9,80;81,7;17;2;15
65;Fiyi;13911;19,04;7,19;70,42;0;0;92
66;Francia;7902783;11,50;9,10;82,7;51;26;24
67;Gabon;280197;28,90;7,44;66,48;87;107;110
68;Gambia;205063;38,97;7,93;61,42;110;119;174
69;Georgia;78218;14,30;12,80;73,5;94;0;70
70;Ghana;417642;30,52;7,99;63,03;43;72;140
71;Granada;7124;18,36;7,10;73,78;0;0;75
72;Grecia;1220395;8,20;11,60;81,4;73;48;31
73;Guatemala;81528;24,92;4,81;73,65;117;100;127
74;Guinea;122796;35,47;8,95;60,62;96;121;175
75;Guinea Ecuatorial;221865;33,62;10,03;57,94;61;0;141
76;Guinea Bisau;23405;35,99;10,30;57,81;122;0;177
77;Guyana;15530;20,39;8,26;66,77;81;88;125
78;Haiti;40533;23,82;8,54;63,59;83;0;168
79;Holanda;2056520;9,90;8,80;81,8;19;13;10
80;Honduras;38700;21,42;4,81;73,77;106;101;133
81;Hong Kong;2883051;7,70;6,30;84,68;0;0;7
82;Hungria;503787;9,70;13,50;76;15;39;45
83;India;5188550;18,78;7,33;68,8;137;103;130
84;Indonesia;345930;18,62;7,16;69,36;52;65;116
85;Irak;366568;32,77;4,95;70,04;161;0;120
86;Iran;2699155;15,92;4,49;76,15;129;104;60
87;Irlanda;806549;12,90;6,30;82,2;10;19;4
88;Islandia;41853;11,90;6,50;82,6;1;21;6
89;Islas Marshall;3292;31,23;3,70;65,24;0;0;106
90;Islas Salomon;2532;28,20;4,70;71,01;0;0;152
91;Israel;1962123;21,10;5,10;82,6;144;18;22
92;Italia;5907461;7,60;10,70;83,1;38;35;28
93;Jamaica;23332;16,43;7,04;76,1;92;83;97
94;Japon;2321476;7,60;10,80;84,1;10;17;19
95;Jordania;3233553;25,88;3,83;74,48;95;86;95
96;Kazajistan;3635168;21,64;7,15;72,95;72;29;58
97;Kenia;1078572;30,88;5,66;67,29;125;78;142
98;Kirguistan;200294;24,80;5,40;71,2;111;46;122
99;Kiribati;3022;27,87;6,96;66,51;0;0;134
100;Kuwait;3123431;15,97;2,81;74,81;58;96;56
101;Laos;45466;23,38;6,58;67,02;45;84;139
102;Lesoto;6749;27,53;12,51;54,57;90;124;159
103;Letonia;256889;10,70;14,80;74,9;32;28;41
104;Libano;1939212;15,50;4,67;79,76;148;0;80
105;Liberia;98630;33,94;7,66;63,01;82;120;181
106;Libia;788419;19,13;5,21;72,11;157;0;108
107;Liechtenstein;24683;8,90;6,60;83,7;0;0;17
108;Lituania;124706;10,10;14,20;75,8;37;25;35
109;Luxemburgo;264073;10,40;7,10;82,1;0;30;21
110;Madagascar;33844;32,90;6,19;66,31;44;110;161
